Timestamp,Weight(kg),FilledLevel(%),AirQuality(ppm),RemainingFill(%)
2024-09-01 00:00:00,0.9977849152031858,3.058536905872705,0.28654608248084035,96.9414630941273
2024-09-01 00:30:00,1.5348159307989793,5.2539637249376385,1.9358112671328693,94.74603627506237
2024-09-01 01:00:00,2.4830889407791714,9.190726372351563,1.197878078304444,90.80927362764844
2024-09-01 01:30:00,3.3279559815938264,14.177623392311862,1.6873438616431995,85.82237660768814
2024-09-01 02:00:00,3.3279559815938264,14.177623392311862,0.0,85.82237660768814
2024-09-01 02:30:00,3.3279559815938264,14.177623392311862,0.0,85.82237660768814
2024-09-01 03:00:00,3.3279559815938264,14.177623392311862,0.0,85.82237660768814
2024-09-01 03:30:00,3.3279559815938264,14.177623392311862,0.0,85.82237660768814
2024-09-01 04:00:00,3.3279559815938264,14.177623392311862,0.0,85.82237660768814
2024-09-01 04:30:00,3.3279559815938264,14.177623392311862,0.0,85.82237660768814
2024-09-01 05:00:00,3.3279559815938264,14.177623392311862,0.0,85.82237660768814
2024-09-01 05:30:00,3.3279559815938264,14.177623392311862,0.0,85.82237660768814
2024-09-01 06:00:00,4.4274840479065425,23.528999551148235,2.6106453152112774,76.47100044885177
2024-09-01 06:30:00,5.913709113528536,31.205804260085255,2.4251802555628488,68.79419573991474
2024-09-01 07:00:00,7.038667605845129,39.605762029019935,0.9245094515383632,60.394237970980065
2024-09-01 07:30:00,8.746234221723084,49.35790315256715,0.959599728233179,50.64209684743285
2024-09-01 08:00:00,9.801467064233986,57.352153808378006,0.008797216139040831,42.647846191621994
2024-09-01 08:30:00,11.422363125996437,63.31763283889367,1.4203990769068127,36.68236716110633
2024-09-01 09:00:00,11.422363125996437,63.31763283889367,0.0,36.68236716110633
2024-09-01 09:30:00,11.422363125996437,63.31763283889367,0.0,36.68236716110633
2024-09-01 10:00:00,11.422363125996437,63.31763283889367,0.0,36.68236716110633
2024-09-01 10:30:00,11.422363125996437,63.31763283889367,0.0,36.68236716110633
2024-09-01 11:00:00,11.422363125996437,63.31763283889367,0.0,36.68236716110633
2024-09-01 11:30:00,11.422363125996437,63.31763283889367,0.0,36.68236716110633
2024-09-01 12:00:00,14.326507856627265,73.5679069832269,4.834086833166399,26.432093016773095
2024-09-01 12:30:00,16.852880144192895,86.37016368296044,5.528281380992374,13.629836317039562
2024-09-01 13:00:00,16.852880144192895,86.37016368296044,0.0,13.629836317039562
2024-09-01 13:30:00,16.852880144192895,86.37016368296044,0.0,13.629836317039562
2024-09-01 14:00:00,16.852880144192895,86.37016368296044,0.0,13.629836317039562
2024-09-01 14:30:00,0.0,0.0,0.0,100.0
2024-09-01 15:00:00,0.0,0.0,0.0,100.0
2024-09-01 15:30:00,0.0,0.0,0.0,100.0
2024-09-01 16:00:00,0.0,0.0,0.0,100.0
2024-09-01 16:30:00,0.0,0.0,0.0,100.0
2024-09-01 17:00:00,0.0,0.0,0.0,100.0
2024-09-01 17:30:00,0.0,0.0,0.0,100.0
2024-09-01 18:00:00,5.189089147703068,21.679486954583012,8.751404715695589,78.32051304541699
2024-09-01 18:30:00,10.93769013415578,42.745941713631304,10.909616559959773,57.254058286368696
2024-09-01 19:00:00,17.496432452244854,65.80702470917647,9.331184677324782,34.192975290823526
2024-09-01 19:30:00,20.0,85.83699993229388,8.251920196731186,14.163000067706122
2024-09-01 20:00:00,20.0,100.0,9.22114791251741,0.0
2024-09-01 20:30:00,20.0,100.0,11.73937982307034,0.0
2024-09-01 21:00:00,20.0,100.0,0.0,0.0
2024-09-01 21:30:00,20.0,100.0,0.0,0.0
